Address,District,City,Country,Latitude,Longitude
Phường Phúc Xá,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.04574,105.848663
Phường Trúc Bạch,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.04508,105.842459
Phường Vĩnh Phúc,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.042009,105.810749
Phường Cống Vị,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.03567,105.810235
Phường Liễu Giai,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.037468,105.817602
Phường Nguyễn Trung Trực,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.042263,105.847665
Phường Quán Thánh,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.041454,105.839353
Phường Ngọc Hà,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.037107,105.825912
Phường Điện Biên,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.030667,105.83835
Phường Đội Cấn,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.034881,105.830439
Phường Ngọc Khánh,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.029429,105.811065
Phường Kim Mã,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.031279,105.826369
Phường Giảng Võ,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.025784,105.81882
Phường Thành Công,Quận Ba Đình,Thành phố Hà Nội,Việt Nam,21.020663,105.815323
Phường Phúc Tân,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.037916,105.855325
Phường Đồng Xuân,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.0387445,105.8489245
Phường Hàng Mã,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.037426,105.846224
Phường Hàng Buồm,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.035668,105.852418
Phường Hàng Đào,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.034632,105.850123
Phường Hàng Bồ,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.035152,105.848127
Phường Cửa Đông,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.032797,105.845906
Phường Lý Thái Tổ,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.030921,105.855744
Phường Hàng Bạc,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.033725,105.853285
Phường Hàng Gai,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.031993,105.84891
Phường Chương Dương,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.024147,105.862118
Phường Hàng Trống,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.029291,105.849778
Phường Cửa Nam,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.024316,105.842531
Phường Hàng Bông,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.029512,105.846051
Phường Tràng Tiền,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.024763,105.854815
Phường Trần Hưng Đạo,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.022732,105.847462
Phường Phan Chu Trinh,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.022494,105.858214
Phường Hàng Bài,Quận Hoàn Kiếm,Thành phố Hà Nội,Việt Nam,21.02105,105.85266
Phường Phú Thượng,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.087063,105.80423
Phường Nhật Tân,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.077485,105.818857
Phường Tứ Liên,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.064137,105.834855
Phường Quảng An,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.063031,105.823939
Phường Xuân La,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.06222,105.806935
Phường Yên Phụ,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.052703,105.840198
Phường Bưởi,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.055589,105.813085
Phường Thụy Khuê,Quận Tây Hồ,Thành phố Hà Nội,Việt Nam,21.043752,105.819789
Phường Thượng Thanh,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.073158,105.897024
Phường Ngọc Thụy,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.0581,105.867112
Phường Giang Biên,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.064648,105.917033
Phường Đức Giang,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.063677,105.895913
Phường Việt Hưng,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.057424,105.901476
Phường Gia Thụy,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.050048,105.887505
Phường Ngọc Lâm,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.044342,105.870512
Phường Phúc Lợi,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.042911,105.926367
Phường Bồ Đề,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.038034,105.873817
Phường Sài Đồng,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.031797,105.914835
Phường Long Biên,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.024209,105.886574
Phường Thạch Bàn,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.02179,105.917164
Phường Phúc Đồng,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.042069,105.903922
Phường Cự Khối,Quận Long Biên,Thành phố Hà Nội,Việt Nam,21.009745,105.901281
Phường Nghĩa Đô,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.04466,105.801894
Phường Nghĩa Tân,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.044995,105.791946
Phường Mai Dịch,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.039566,105.777078
Phường Dịch Vọng,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.034283,105.793596
Phường Dịch Vọng Hậu,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.038146,105.786469
Phường Quan Hoa,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.035794,105.805019
Phường Yên Hoà,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.02745,105.798077
Phường Trung Hoà,Quận Cầu Giấy,Thành phố Hà Nội,Việt Nam,21.012307,105.803689
Phường Cát Linh,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.028816,105.829586
