29V-35308#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Kim Chung (Huyện Đông Anh- Thành phố Hà Nội),Phường Trung Hoà (Quận Cầu Giấy- Thành phố Hà Nội),Xã Duyên Thái (Huyện Thường Tín- Thành phố Hà Nội),Xã Nam Triều (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Đạo Lý (Huyện Lý Nhân- Tỉnh Hà Nam),Xã Liêm Túc (Huyện Thanh Liêm- Tỉnh Hà Nam),Xã Quảng Lạc (Huyện Nho Quan- Tỉnh Ninh Bình),Xã Cẩm Ngọc (Huyện Cẩm Thủy- Tỉnh Thanh Hóa),Xã Kiên Thọ (Huyện Ngọc Lặc- Tỉnh Thanh Hóa),Xã Thanh Hòa (Huyện Như Xuân- Tỉnh Thanh Hóa),Xã Nghĩa Dũng (Huyện Tân Kỳ- Tỉnh Nghệ An),Xã Thạch Sơn (Huyện Anh Sơn- Tỉnh Nghệ An),Xã Xuân Tường (Huyện Thanh Chương- Tỉnh Nghệ An),Xã Hưng Thông (Huyện Hưng Nguyên- Tỉnh Nghệ An),Xã Thạch Kênh (Huyện Thạch Hà- Tỉnh Hà Tĩnh),Xã Cẩm Quang (Huyện Cẩm Xuyên- Tỉnh Hà Tĩnh),Xã Kỳ Thọ (Huyện Kỳ Anh- Tỉnh Hà Tĩnh),268000,8giờ49phút
29G-77176#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Phường Phú Đô (Quận Nam Từ Liêm- Thành phố Hà Nội),Xã Vĩnh Quỳnh (Huyện Thanh Trì- Thành phố Hà Nội),Thị trấn Phú Minh (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Chính Lý (Huyện Lý Nhân- Tỉnh Hà Nam),Xã Liêm Túc (Huyện Thanh Liêm- Tỉnh Hà Nam),Phường Phúc Thành (Thành phố Ninh Bình- Tỉnh Ninh Bình),Phường Đông Thành (Thành phố Ninh Bình- Tỉnh Ninh Bình),Xã Kỳ Phú (Huyện Nho Quan- Tỉnh Ninh Bình),Xã Định Bình (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Quảng Trạch (Huyện Quảng Xương- Tỉnh Thanh Hóa),Xã Định Hải (Thị xã Nghi Sơn- Tỉnh Thanh Hóa),Xã Nghĩa Bình (Huyện Nghĩa Đàn- Tỉnh Nghệ An),Xã Nam Sơn (Huyện Quỳ Hợp- Tỉnh Nghệ An),Xã Đỉnh Sơn (Huyện Anh Sơn- Tỉnh Nghệ An),Thị trấn Thanh Chương (Huyện Thanh Chương- Tỉnh Nghệ An),Xã Hồng Long (Huyện Nam Đàn- Tỉnh Nghệ An),Xã Thuần Thiện (Huyện Can Lộc- Tỉnh Hà Tĩnh),215000,7giờ31phút
29V-29529#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Phường Bồ Đề (Quận Long Biên- Thành phố Hà Nội),Xã Ninh Sở (Huyện Thường Tín- Thành phố Hà Nội),Xã Nam Triều (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Nhật Tân (Huyện Kim Bảng- Tỉnh Hà Nam),Xã Thanh Hải (Huyện Thanh Liêm- Tỉnh Hà Nam),Xã Gia Tiến (Huyện Gia Viễn- Tỉnh Ninh Bình),Xã Yên Mỹ (Huyện Yên Mô- Tỉnh Ninh Bình),Thị trấn Nga Sơn (Huyện Nga Sơn- Tỉnh Thanh Hóa),Xã Thành An (Huyện Thạch Thành- Tỉnh Thanh Hóa),Xã Thiệu Toán (Huyện Thiệu Hóa- Tỉnh Thanh Hóa),Xã Phượng Nghi (Huyện Như Thanh- Tỉnh Thanh Hóa),Phường Quang Tiến (Thị xã Thái Hoà- Tỉnh Nghệ An),Xã Giang Sơn Tây (Huyện Đô Lương- Tỉnh Nghệ An),Xã Thanh Đồng (Huyện Thanh Chương- Tỉnh Nghệ An),Xã Nam Nghĩa (Huyện Nam Đàn- Tỉnh Nghệ An),Phường Trung Lương (Thị xã Hồng Lĩnh- Tỉnh Hà Tĩnh),Xã Lưu Vĩnh Sơn (Huyện Thạch Hà- Tỉnh Hà Tĩnh),220000,8giờ5phút
29I-56444#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Hồng Thái (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Công Lý (Huyện Lý Nhân- Tỉnh Hà Nam),Xã Liêm Túc (Huyện Thanh Liêm- Tỉnh Hà Nam),Xã Gia Sinh (Huyện Gia Viễn- Tỉnh Ninh Bình),Xã Yên Thắng (Huyện Yên Mô- Tỉnh Ninh Bình),Xã Nga Thủy (Huyện Nga Sơn- Tỉnh Thanh Hóa),Xã Hoằng Phong (Huyện Hoằng Hóa- Tỉnh Thanh Hóa),Xã Thuần Lộc (Huyện Hậu Lộc- Tỉnh Thanh Hóa),Xã Hà Giang (Huyện Hà Trung- Tỉnh Thanh Hóa),Xã Định Tăng (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Thọ Bình (Huyện Triệu Sơn- Tỉnh Thanh Hóa),Xã Nghĩa Lâm (Huyện Nghĩa Đàn- Tỉnh Nghệ An),Xã Tân Long (Huyện Tân Kỳ- Tỉnh Nghệ An),Xã Hòa Sơn (Huyện Đô Lương- Tỉnh Nghệ An),Xã Nghi Diên (Huyện Nghi Lộc- Tỉnh Nghệ An),Thị trấn Xuân An (Huyện Nghi Xuân- Tỉnh Hà Tĩnh),Xã Tùng Lộc (Huyện Can Lộc- Tỉnh Hà Tĩnh),199000,6giờ50phút
29R-82635#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Đan Phượng (Huyện Đan Phượng- Thành phố Hà Nội),Xã Tân Phú (Huyện Quốc Oai- Thành phố Hà Nội),Xã Dân Hòa (Huyện Thanh Oai- Thành phố Hà Nội),Xã Lê Hồ (Huyện Kim Bảng- Tỉnh Hà Nam),Xã Thanh Tân (Huyện Thanh Liêm- Tỉnh Hà Nam),Phường Phúc Thành (Thành phố Ninh Bình- Tỉnh Ninh Bình),Xã Ninh Mỹ (Huyện Hoa Lư- Tỉnh Ninh Bình),Xã Kỳ Phú (Huyện Nho Quan- Tỉnh Ninh Bình),Xã Vĩnh Hòa (Huyện Vĩnh Lộc- Tỉnh Thanh Hóa),Thị trấn Rừng Thông (Huyện Đông Sơn- Tỉnh Thanh Hóa),Xã Quảng Trường (Huyện Quảng Xương- Tỉnh Thanh Hóa),Phường Trúc Lâm (Thị xã Nghi Sơn- Tỉnh Thanh Hóa),Xã Quỳnh Thạch (Huyện Quỳnh Lưu- Tỉnh Nghệ An),Xã Diễn Tháp (Huyện Diễn Châu- Tỉnh Nghệ An),Xã Liên Thành (Huyện Yên Thành- Tỉnh Nghệ An),Xã Ngọc Sơn (Huyện Thanh Chương- Tỉnh Nghệ An),Xã Quang Diệm (Huyện Hương Sơn- Tỉnh Hà Tĩnh),210000,7giờ40phút
29K-49235#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Văn Tự (Huyện Thường Tín- Thành phố Hà Nội),Xã Châu Can (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Thanh Sơn (Huyện Kim Bảng- Tỉnh Hà Nam),Phường Đông Thành (Thành phố Ninh Bình- Tỉnh Ninh Bình),Xã Sơn Thành (Huyện Nho Quan- Tỉnh Ninh Bình),Xã Thạch Long (Huyện Thạch Thành- Tỉnh Thanh Hóa),Xã Định Tăng (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Hợp Lý (Huyện Triệu Sơn- Tỉnh Thanh Hóa),Xã Xuân Khang (Huyện Như Thanh- Tỉnh Thanh Hóa),Xã Nghĩa Thành (Huyện Nghĩa Đàn- Tỉnh Nghệ An),Xã Tân Long (Huyện Tân Kỳ- Tỉnh Nghệ An),Xã Đông Sơn (Huyện Đô Lương- Tỉnh Nghệ An),Xã Nghi Kiều (Huyện Nghi Lộc- Tỉnh Nghệ An),Xã Nghi Ân (Thành phố Vinh- Tỉnh Nghệ An),Xã Cỗ Đạm (Huyện Nghi Xuân- Tỉnh Hà Tĩnh),Xã Đồng Môn (Thành phố Hà Tĩnh- Tỉnh Hà Tĩnh),Xã Cẩm Thạch (Huyện Cẩm Xuyên- Tỉnh Hà Tĩnh),215000,7giờ29phút
29W-89943#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Phường Đồng Xuân (Quận Hoàn Kiếm- Thành phố Hà Nội),Phường Thanh Lương (Quận Hai Bà Trưng- Thành phố Hà Nội),Xã Liên Phương (Huyện Thường Tín- Thành phố Hà Nội),Xã Nam Triều (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Chính Lý (Huyện Lý Nhân- Tỉnh Hà Nam),Xã Trung Lương (Huyện Bình Lục- Tỉnh Hà Nam),Xã Gia Phương (Huyện Gia Viễn- Tỉnh Ninh Bình),Xã Quỳnh Lưu (Huyện Nho Quan- Tỉnh Ninh Bình),Thị trấn Vĩnh Lộc (Huyện Vĩnh Lộc- Tỉnh Thanh Hóa),Xã Thiệu Toán (Huyện Thiệu Hóa- Tỉnh Thanh Hóa),Xã Phượng Nghi (Huyện Như Thanh- Tỉnh Thanh Hóa),Xã Nghĩa Thành (Huyện Nghĩa Đàn- Tỉnh Nghệ An),Xã Kỳ Tân (Huyện Tân Kỳ- Tỉnh Nghệ An),Xã Hòa Sơn (Huyện Đô Lương- Tỉnh Nghệ An),Xã Nghi Diên (Huyện Nghi Lộc- Tỉnh Nghệ An),Phường Bến Thủy (Thành phố Vinh- Tỉnh Nghệ An),Xã Xuân Lộc (Huyện Can Lộc- Tỉnh Hà Tĩnh),228000,7giờ29phút
29I-32758#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Quang Trung (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Đồng Hóa (Huyện Kim Bảng- Tỉnh Hà Nam),Xã Thanh Thủy (Huyện Thanh Liêm- Tỉnh Hà Nam),Phường Tân Thành (Thành phố Ninh Bình- Tỉnh Ninh Bình),Thị trấn Yên Thịnh (Huyện Yên Mô- Tỉnh Ninh Bình),Xã Kim Tân (Huyện Kim Sơn- Tỉnh Ninh Bình),Xã Nga Văn (Huyện Nga Sơn- Tỉnh Thanh Hóa),Xã Thành Tiến (Huyện Thạch Thành- Tỉnh Thanh Hóa),Xã Thiệu Duy (Huyện Thiệu Hóa- Tỉnh Thanh Hóa),Xã Quảng Trạch (Huyện Quảng Xương- Tỉnh Thanh Hóa),Xã Định Hải (Thị xã Nghi Sơn- Tỉnh Thanh Hóa),Xã Thanh Kỳ (Huyện Như Thanh- Tỉnh Thanh Hóa),Xã Tam Hợp (Huyện Quỳ Hợp- Tỉnh Nghệ An),Xã Châu Lý (Huyện Quỳ Hợp- Tỉnh Nghệ An),Xã Đà Sơn (Huyện Đô Lương- Tỉnh Nghệ An),Xã Võ Liệt (Huyện Thanh Chương- Tỉnh Nghệ An),Xã Đức Giang (Huyện Vũ Quang- Tỉnh Hà Tĩnh),186000,6giờ50phút
29D-93571#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Phường Cống Vị (Quận Ba Đình- Thành phố Hà Nội),Phường Khương Đình (Quận Thanh Xuân- Thành phố Hà Nội),Xã Duyên Thái (Huyện Thường Tín- Thành phố Hà Nội),Xã Tri Trung (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Đồng Hóa (Huyện Kim Bảng- Tỉnh Hà Nam),Xã Đồng Phong (Huyện Nho Quan- Tỉnh Ninh Bình),Xã Thành Công (Huyện Thạch Thành- Tỉnh Thanh Hóa),Xã Định Hải (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Hoằng Phú (Huyện Hoằng Hóa- Tỉnh Thanh Hóa),Xã Thành Lộc (Huyện Hậu Lộc- Tỉnh Thanh Hóa),Xã Hà Giang (Huyện Hà Trung- Tỉnh Thanh Hóa),Xã Định Long (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Thọ Dân (Huyện Triệu Sơn- Tỉnh Thanh Hóa),Xã Tân Bình (Huyện Như Xuân- Tỉnh Thanh Hóa),Phường Quang Tiến (Thị xã Thái Hoà- Tỉnh Nghệ An),Xã Kỳ Tân (Huyện Tân Kỳ- Tỉnh Nghệ An),Xã Hương Trà (Huyện Hương Khê- Tỉnh Hà Tĩnh),248000,8giờ38phút
29T-24098#Thành phố Hà Nội:Tỉnh Hà Tĩnh#,Xã Cam Thượng (Huyện Ba Vì- Thành phố Hà Nội),Xã Đồng Trúc (Huyện Thạch Thất- Thành phố Hà Nội),Xã Thụy Hương (Huyện Chương Mỹ- Thành phố Hà Nội),Xã Hoàng Long (Huyện Phú Xuyên- Thành phố Hà Nội),Xã Nhật Tân (Huyện Kim Bảng- Tỉnh Hà Nam),Xã Thanh Nghị (Huyện Thanh Liêm- Tỉnh Hà Nam),Phường Ninh Phong (Thành phố Ninh Bình- Tỉnh Ninh Bình),Xã Yên Mỹ (Huyện Yên Mô- Tỉnh Ninh Bình),Thị trấn Bình Minh (Huyện Kim Sơn- Tỉnh Ninh Bình),Xã Ngư Lộc (Huyện Hậu Lộc- Tỉnh Thanh Hóa),Xã Hà Bình (Huyện Hà Trung- Tỉnh Thanh Hóa),Xã Định Long (Huyện Yên Định- Tỉnh Thanh Hóa),Xã Xuân Thọ (Huyện Triệu Sơn- Tỉnh Thanh Hóa),Xã Thanh Hòa (Huyện Như Xuân- Tỉnh Thanh Hóa),Xã Nghĩa Long (Huyện Nghĩa Đàn- Tỉnh Nghệ An),Xã Liên Thành (Huyện Yên Thành- Tỉnh Nghệ An),Xã Sơn Lâm (Huyện Hương Sơn- Tỉnh Hà Tĩnh),212000,7giờ29phút
